,Text,Predicted Label,LLM Response,True Label,Prediction Time
2,"An employee was responding to a patient's call, tripped over the call light cord, and fell fracturing the left hip.","Fractures and other injuries, n.e.c.",Fractures and other,Fractures,0.48690152168273926
5,"An employee was operating an order selector machine when it jumped the wire guide and hit a rack, fracturing the employee's right leg.","Fractures and other injuries, n.e.c.",Fractures and other,Fractures,0.4938936233520508
6,"Employees were conducting repair operations and lifting an 850-pound 8"" pipe with a winch and swiveling block and tackle while working at a height of 15 feet. The employees were trying to position the pipe as they were hoisting it into place when the swivel bound, causing the lifting cable bind and break. A secondary come-a-long and chain kept the pipe from falling, but the pipe swung into an employee, fracturing a vertebra in his neck, breaking his left arm in two places and fracturing his wrist.",Fractures (except skull fractures) and concussions,22,Fractures,0.43721938133239746
10,An employee was repairing an air conditioning unit when the homeowner's dog bit him. The employee sustained injuries requiring stitches and was hospitalized.,"Multiple traumatic injuries and disorders, n.e.c.",Multiple traumatic injuries and disorders,"Open wounds, unspecified",0.5000815391540527
16,An employee developed an infection after having a sliver of metal in his hand.,"Abrasions, scratches","Abrasions, scratches","Puncture wounds, except gunshot wounds",0.4941284656524658
17,"At 3:10 p.m. on March 21, 2019, an employee was trying to reset the gauge on an ID grinder. The parts loader cycled and pinched the employee's left index finger, causing an avulsion and later surgical amputation to the first knuckle.","Avulsions, enucleations",4,Amputations,0.38817858695983887
20,"An employee was in a harness and was raised in the air with a winch line to remove a T-valve on top of a pipe. As the operator raised him up, the counterweight of the winch became caught on the tubing board and built up tension on the winch line. As the tension built up on the winch, it gave way and catapulted the employee through the air.  The employee suffered pelvic injuries.","Traumatic injuries and disorders, n.e.c.",Traumatic injuries and disorders,"Soreness, pain, hurt-nonspecified injury",0.5681095123291016
24,"An employee was gathering product to open for business. When she stepped onto a pallet with shrink wrap on it, her foot got tangled in the shrink wrap and she fell to the floor. The employee sustained a fractured left hip.","Fractures and other injuries, n.e.c.",Fractures and other,Fractures,0.5319671630859375
25,An employee was climbing a utility pole when the pole and the employee fell over. The employee suffered broken ribs.,"Fractures and other injuries, n.e.c.",Fractures and other,Fractures,0.4857652187347412
26,"An employee tripped and fell to the floor while carrying drywall material, suffering abrasions to the nose and possible neck fractures.","Abrasions, scratches","Abrasions, scratches",Fractures,0.49368906021118164
27,"An employee was removing mold plates from a pallet when the bottom plate fell forward off the pallet and struck her lower left leg, resulting in a fracture that required hospitalization and surgery.","Fractures and other injuries, n.e.c.",Fractures and other,Fractures,0.4886748790740967
29,"On May 13, 2015, at approximately 1:00 a.m., an employee suffered a back injury resulting in hospitalization.  The employee was making an over-the-road delivery driving a tractor trailer.  He stopped at a Pilot Fuel Station and was exiting the cab of his tractor trailer when he stepped to the ground and felt a sharp pain in his back.","Traumatic injuries and disorders, n.e.c.",Traumatic injuries and disorders,"Soreness, pain, hurt-nonspecified injury",0.5273561477661133
33,An employee was observing a forklift unload his 44-foot trailer when he was struck by a steel round bar (1 ft. 11/16 in. diameter; 24 ft. long and weighs 186 lbs.) as it was forklifted from his trailer. He sustained a fractured right arm and lacerations to the back of his head.,Unknown,Fractures and cuts,Fractures,0.5337469577789307
34,Two employees were setting up a multi-die header machine. The machine was turned on while one of the employees was adjusting a bolt inside it. The employee's right middle finger tip was crushed between the bolt and the machine's oscillator and had to be amputated. The incident took place during a training activity.,Amputations,1,Crushing injuries,0.3879110813140869
36,"An employee was trying to free a utility pole section for disposal. The pole came loose, struck the employee, and knocked him off the trailer he was working from. He fell and struck his head on the ground, suffering head trauma, lacerations, and possible fractures.","Multiple traumatic injuries and disorders, n.e.c.",Multiple traumatic injuries and disorders,"Intracranial injuries, unspecified",0.5356595516204834
39,"An employee was on an extension ladder while painting at a jobsite. The ladder slipped, causing the employee to fall to the floor and sustain injuries to their left elbow and left knee.",Unknown,Cuts and lacer,"Soreness, pain, hurt-nonspecified injury",0.4921698570251465
40,An employee slipped and fell on ice while picking up a package. He suffered a hip injury and was hospitalized.,"Traumatic injuries and disorders, n.e.c.",Traumatic injuries and disorders,"Soreness, pain, hurt-nonspecified injury",0.4888908863067627
41,An employee was about to go down an elevator to a service tunnel when the elevator abruptly dropped 50 feet. The employee suffered head and neck injuries.,"Traumatic injuries and disorders, n.e.c.",Traumatic injuries and disorders,"Soreness, pain, hurt-nonspecified injury",0.4880692958831787
45,The employee was dumping material from a dump truck and was struck by the material (approximately one ton of soil) resulting in a compound fracture to the leg and a broken nose.,Fractures (except skull fractures) and concussions,22,Fractures,0.40665483474731445
46,"An employee had replaced a fire extinguisher on a wall and was turning when her foot caught on the base of an air dryer. She fell to the floor, suffering a broken right arm and facial injuries (including a possible broken nose).",Fractures (except skull fractures) and concussions,22,Fractures,0.440410852432251
47,"An employee was on a baker scaffold when one of the wheels rolled off a curb. The scaffold tipped over and the employee fell about 8 feet to the ground, breaking his left humerus, clavicle, wrist, ribs, and pelvis.","Fractures and other injuries, n.e.c.",Fractures and other,Fractures,0.5302183628082275
48,An employee was drying vehicles as they came out of the car wash. His foot slipped into a hole at the end of the track where the roller goes back down. The roller amputated his right leg under the kneecap.,Amputations involving bone loss,Amputations involving bone,Amputations,0.530595064163208
49,"An employee was installing water-proofing on a balcony with a 2x4 wooden railing when the railing cracked and became off place. The employee fell three stories to the ground, breaking his hands and suffering head trauma.","Multiple traumatic injuries and disorders, n.e.c.",Multiple traumatic injuries and disorders,"Fractures and other injuries, unspecified",0.5350964069366455
52,An employee slipped and fell and hit their head on the floor.,Cerebral and other intracranial hemorrhages,Cerebral and other,"Soreness, pain, hurt-nonspecified injury",0.5002007484436035
54,A temporary employee was walking when they tripped over a thick layer of mud/debris and fell. The employee sustained a fractured elbow and a dislocated shoulder requiring surgery.,Fractures and dislocations,24,Fractures and soft tissue injuries,0.401949405670166
62,"An employee was removing a part from a brake press when the machine's backstop came back and caught the employee's finger against the bottom die. The employee's fingertip was crushed and degloved, and the employee was hospitalized.","Amputations, avulsions, enucleations  unspecified","Amputations, av","Avulsions, enucleations",0.5325911045074463
64,"An employee was using a firehose to clean the floor between slabs of granite when a slab fell off its support and struck the employee. The employee suffered a crushed pelvis, left hand injuries, and multiple rib fractures.",Nonfatal 'crushing' injuries,Nonfatal 'crushing,Crushing injuries,0.5444209575653076
66,An employee was assaulted leaving the store after his shift. He was hospitalized with multiple lacerations and a possible concussion.,"Cuts, lacerations","Cuts, lacer",Concussions,0.5023636817932129
68,"An employee was sliding lumber onto a rack when they tripped over a board and fell to the ground, sustaining a left hip fracture.","Fractures and other injuries, n.e.c.",Fractures and other,Fractures,0.49695515632629395
70,"An employee was at a customer location while delivering packages. The rear roll-up door of the delivery van began to close when the employee's right index finger got caught between two of the panels, resulting in amputation of the nail and fingertip.","Amputations, avulsions, enucleations  unspecified","Amputations, av",Amputations,0.5349180698394775
71,An employee's hand got caught in a bottle molding machine during cleaning activities.,Unknown,Cuts and lacer,"Soreness, pain, hurt-nonspecified injury",0.49199342727661133
73,"An employee was in the parking lot, checking a VIN number on a damaged vehicle that was being towed into the shop. As she stepped away from the vehicle she got caught on the wire ring from a hubcap on the damaged vehicle, and fell backward, fracturing her left hip and spraining her left wrist.","Multiple traumatic injuries and disorders, n.e.c.",Multiple traumatic injuries and disorders,Fractures,0.5320260524749756
75,"An employee was in his vehicle, making a package delivery, when someone robbed him and shot him with a shotgun. He suffered a gunshot wound, with a spray of pellets and debris affecting multiple parts of his body and body systems.",Multiple severe wounds and internal injuries,Multiple severe wounds and internal,Gunshot wounds,0.5333716869354248
77,An employee was injured on 3-5-15 at 5:00PM when the employee slipped on ice and fell in the parking area. The employee was hospitalized and surgically treated for a foot/ankle injury.,"Abrasions, scratches","Abrasions, scratches","Soreness, pain, hurt-nonspecified injury",0.5325570106506348
82,"On November 23, 2021, an employee was on a ladder striking a moving conveyor roller when their right arm or the hammer was pulled into the conveyor resulting in fractures and lacerations. The employee was hospitalized.",Fractures (except skull fractures) and concussions,22,Fractures,0.44077515602111816
83,"An employee was emptying a pot of boiling water in to a colander and the water spilled, burning the employee on the chest.",Second degree heat (thermal) burns,Second degree heat (thermal,"Heat (thermal) burns, unspecified",0.49836087226867676
85,"An employee was delivering a shipment of freight when a gust of wind blew papers out of his hand. As he went to reach for them, he walked into the edge of the lift gate, injuring his head and right shoulder. He was hospitalized.","Traumatic injuries and disorders, n.e.c.",Traumatic injuries and disorders,"Soreness, pain, hurt-nonspecified injury",0.5361793041229248
87,"An employee was replacing road reflectors on a tollway when they were struck by a vehicle, resulting in injuries to both legs and their right arm. A left finger was also amputated. The employee was hospitalized.","Amputations, avulsions, enucleations  unspecified","Amputations, av",Amputations,0.5324192047119141
91,An employee was positioning a piece of steel in a band saw's pneumatically powered clamp mechanism to hold the sample for cutting when his right thumb distal tip was caught in the clamp. He suffered a partial amputation of the thumb tissue under the nail.,"Amputations, avulsions, enucleations  unspecified","Amputations, av",Amputations,0.5302262306213379
95,An employee was exposed to carbon monoxide from a forklift and began to feel lightheaded. The employee was later was found unresponsive in the booth and was hospitalized.,"Poisoning, including poisoning-related asphyxia","Poisoning, including","Poisoning, toxic, noxious, or allergenic effect, unspecified",0.5069818496704102
102,"While spreading pine straw, an employee was bitten by a spider and had an allergic reaction (swelling and inflammation), requiring hospitalization.",Other or unspecified allergic reactions,Other or unspecified allergic reactions,"Poisoning, toxic, noxious, or allergenic effect, unspecified",0.4981815814971924
104,"An employee was descending a light pole and stepped onto an A-frame ladder in the closed position. The ladder gave way and the employee fell approximately 8 feet to the ground level, suffering right hip and right rib injuries.","Traumatic injuries and disorders, n.e.c.",Traumatic injuries and disorders,"Soreness, pain, hurt-nonspecified injury",0.5336346626281738
105,"An employee was walking from the file room when she fell to the floor, resulting in a fractured pelvis.","Fractures and other injuries, n.e.c.",Fractures and other,Fractures,0.5040624141693115
108,An employee was trying to move a tangled drive chain. The employee's left ring finger got caught in the drive chain when the motor started. The employee required surgery to remove the fingernail and close the wound.,"Avulsions, enucleations",4,Amputations,0.39841222763061523
112,"An employee was driving a boom lift when it bounced off a curb, causing him to strike his mouth on the bar above the controls. He suffered a head contusion as well as fractures to the jaw and ribs.","Fractures and other injuries, n.e.c.",Fractures and other,Fractures,0.5330955982208252
113,An employee developed muscle cramps after working on a rooftop. He was hospitalized for heat exhaustion.,"Heat exhaustion, fatigue","Heat exhaustion, fatigue","Heat exhaustion, prostration",0.5009903907775879
116,"An employee slipped from a ladder and fell about 3 feet, striking an aeration pipe clamp and flange joint. The employee suffered two parallel 4-inch abrasions, three broken ribs, and a lacerated spleen.",Multiple severe wounds and internal injuries,Multiple severe wounds and internal,Internal injuries to organs and blood vessels of the trunk,0.5376987457275391
117,An employee was working with a deli meat slicer when the guard came loose and hit her head.,Concussions,Concussions,"Soreness, pain, hurt-nonspecified injury",0.45838069915771484
118,"An employee was loosening bolts to remove an engine from a tractor when a bolt broke, causing him to lose his footing and fall. As he fell, his wedding ring was caught on a tractor part and the flesh was ripped from his left middle finger.","Amputations, avulsions, enucleations  unspecified","Amputations, av","Avulsions, enucleations",0.5311827659606934
119,"An employee was working on the roof, removing plastic coverings (formerly skylights) and replacing them with plywood. The employee fell 19 feet through an open space to the floor below. He sustained cuts, including cuts near his eye, a possible broken wrist, a possible dislocated finger, and a possible concussion.","Cuts, lacerations","Cuts, lacer",Fractures (except skull fractures) and concussions,0.5342981815338135
123,"An employee became overheated while delivering mail in hot weather, suffering dizziness, nausea, and vomiting.","Heat exhaustion, prostration","Heat exhaustion, prostration","Effects of heat and light, unspecified",0.5048990249633789
124,"An employee was working from an 8-foot ladder, changing a belt on an air handler. The employee fell from the ladder and was found unconscious, with their leg tangled in equipment. The employee had suffered a traumatic brain injury.","Traumatic injuries and disorders, n.e.c.",Traumatic injuries and disorders,"Intracranial injuries, unspecified",0.5445830821990967
125,An employee was attempting to rekindle a small fire with gasoline to burn scrap wood when the resulting fire burned the employee.,"Chemical burns and corrosions, unspecified",Chemical burns and corros,"Heat (thermal) burns, unspecified",0.5009958744049072
126,"An employee was sitting in the operator seat of a log loader truck preparing to assist in a tree felling operation when a tree limb broke and fell on him, knocking him to the ground. He fractured four vertebrae, requiring hospitalization and surgery.","Fractures and other injuries, n.e.c.",Fractures and other,Fractures,0.5359792709350586
128,"A crew was using a magnetic lift to lower a 500-pound section of square tubing into place. The injured employee had their hand partially inside one end of the tubing when the magnet failed and dropped the square tubing, injuring their left hand including crushed fingers and amputations to the ring finger and thumb.","Amputations, avulsions, enucleations  unspecified","Amputations, av",Amputations,0.5392746925354004
129,"An employee was servicing a conveyor belt. After greasing the ports and gears, the employee restored energy to the machine. The employee's left hand was then caught between the bottom belt and the pressure roller. The employee suffered a fracture and a tendon injury to the left little finger and a forearm burn.","Fractures and other injuries, n.e.c.",25,Fractures and burns,0.4628124237060547
130,"An employee was performing maintenance on a skinning machine when his hand entered the machine, pulling the skin off his right palm, thumb, and the back of his hand.","Abrasions, scratches","Abrasions, scratches","Avulsions, enucleations",0.5097436904907227
131,"An employee was changing a hydraulic hose on a front end loader when the pressure on the cylinder released, causing it to come down and strike him, pinning and breaking his arm between the frame and the bucket.",Fractures and dislocations,Fractures and dis,Fractures,0.5389745235443115
132,An employee was performing maintenance on a drag chain conveyor. The equipment started and the employee was struck by the drag chain paddles causing fractures to both legs that required surgery and two fractured ribs. The conveyor was not locked out at the time of the incident.,"Fractures and other injuries, n.e.c.",Fractures and other,Fractures,0.5370042324066162
133,"An employee was power washing an idling pea picker (combine) when a leading length of power wash hose was caught and began wrapping around the picking head of the combine.  A length of the power wash hose dragged on the ground as the leading length uncontrollably wrapped, roping around the employee's right leg from behind and pulling the employee foot-first into the picking head.  The employee's right leg was forcefully pulled into the combine up to the knee, causing multiple fractures and lacerations.",Fractures (except skull fractures) and concussions,22,"Fractures and other injuries, n.e.c.",0.4539642333984375
136,An employee was using an electric pallet jack to move inventory. His foot was pinned between the pallet jack and a pallet.,Nonfatal 'crushing' injuries,Nonfatal 'crushing,"Soreness, pain, hurt-nonspecified injury",0.498260498046875
137,"An employee was standing on a ladder cleaning air vents when the employee fell from the ladder to the concrete ground, suffering a fractured skull.","Fractures and other injuries, n.e.c.",Fractures and other,Fractures,0.5109610557556152
139,An employee was felling trees at a logging site. A falling tree kicked back and struck his chest pinning him against another tree. The employee sustained a lacerated spleen and a possible broken bone.,"Fractures and other injuries, n.e.c.",Fractures and other,Multiple severe wounds and internal injuries,0.5438628196716309
142,While sweeping and cleaning up garbage an employee fell 10 feet through a stair hole. The employee landed on the floor and sustained a head injury.,Intracranial injuries and injuries to internal organs,Intracranial,"Intracranial injuries, unspecified",0.49869680404663086
143,"An employee was holding up 18 27-by-83-inch pieces of glass while another employee was pulling a sheet of glass from the middle of the stack. The employee fell backwards between two pallets of wood doors. The force of the fall shattered half the glass. The employee suffered two broken tibias, a broken left ring finger, and a laceration on the right thigh.","Fractures and other injuries, n.e.c.",Fractures and other,Fractures,0.5437581539154053
144,"An employee was operating a burn machine when he noticed the guide that lines up the metal was still in the machine. He was attempting to remove it when the head of the machine caught his finger between the head and guide, amputating his left pinky fingertip.","Amputations, avulsions, enucleations  unspecified","Amputations, av",Amputations,0.5419938564300537
145,"An employee was securing straps and cables to a tarp on top of a sugar beet pile when a microburst hit the pile. The straps and cables came off the tarp and hit the employee. He then became rolled up in the tarp and fell off the pile to the ground, suffering head, wrist, and rib injuries.","Traumatic injuries and disorders, n.e.c.",Traumatic injuries and disorders,"Soreness, pain, hurt-nonspecified injury",0.5443820953369141
150,An employee was replacing the cover on a machine when his right index finger was caught and partially amputated in a chain and sprocket.,"Amputations, avulsions, enucleations  unspecified","Amputations, av",Amputations,0.5058474540710449
153,"An employee tripped on a rug and fell, suffering a possible knee fracture.","Fractures and other injuries, n.e.c.",Fractures and other,"Soreness, pain, hurt-nonspecified injury",0.5086965560913086
154,"An employee was attempting to screw a valve onto a pump when their hand slipped and was caught between the valve and the tool trap, resulting in amputation of their left ring finger.",Amputations,Amputations,Amputations involving bone loss,0.4764835834503174
155,"An employee picked up material out of a cardboard box that was on the floor. As he was carrying the material, he stepped backward and tripped over the cardboard box, causing him to fall and suffer a compound fracture of his leg.",Fractures (except skull fractures) and concussions,22,Fractures,0.47788405418395996
156,"A nursing assistant had just moved a patient. She stepped away and to the side, tripped, and fell. She sustained fractures to her left radius and ulna (the radial fracture requiring surgery), as well as her left tibia/patella.","Fractures and other injuries, n.e.c.",Fractures and other,Fractures,0.5445835590362549
157,"An employee was standing on top of a container while a spreader bar was being lowered. The bar swung forward, causing the employee to step back and fall approximately 9 feet off of the container and onto the dock. He broke his wrist and suffered a damaged vertebra.","Fractures and other injuries, n.e.c.",Fractures and other,Fractures,0.5465857982635498
160,"An employee was getting a well head to stop on the down side and the weights on top. He was trying to roll up loose cable running from the rod rotator to a Samson post. His hand was on the brake and he was watching the weights when he pulled back on the brake to stop the weights. His hand then struck the top of the cross bar of the weight guards and his finger was struck in the middle. His right thumb was pinched and injured, resulting in a thumb tip amputation.","Amputations, avulsions, enucleations  unspecified","Amputations, av",Amputations,0.5414505004882812
162,"An employee was loosening the bolts in a 1,500-2,000 pound sign. The sign fell and struck the employee in the back, breaking a vertebra. The employee was hospitalized.","Traumatic injuries and disorders, n.e.c.",Traumatic injuries and disorders,Fractures,0.5297389030456543
169,An employee was struck by an automobile in the truck lot resulting in trauma to the right hip and elbow.,"Traumatic injuries and disorders, n.e.c.",Traumatic injuries and disorders,"Soreness, pain, hurt-nonspecified injury",0.5089287757873535
173,"An employee's fingers were pinched in the cart tipper on the back of a garbage truck, causing injuries that required surgery.",Amputations,Amputations,"Soreness, pain, hurt-nonspecified injury",0.4616508483886719
174,An employee fell five feet from the loading dock to the ground and fractured two ribs.,"Fractures and other injuries, n.e.c.",Fractures and other,Fractures,0.5039927959442139
175,"On November 14, 2023, an employee was receiving a delivery from a truck when some of the merchandise fell from the truck s lift and struck him. He then fell to the ground and his head struck the sidewalk, resulting in an injury that required hospitalization.",Intracranial injuries and injuries to internal organs,Intracranial,"Soreness, pain, hurt-nonspecified injury",0.5480031967163086
176,"An employee tripped and fell, breaking her right hip.","Fractures and other injuries, n.e.c.",Fractures and other,Fractures,0.5030207633972168
180,An employee was repairing a damaged railing and fell 25 feet through the railing to the concrete floor below. The employee suffered multiple injuries including broken bones.,"Fractures and other injuries, n.e.c.",Fractures and other,Fractures,0.5141019821166992
181,"An employee was helping unload a food service truck. As he was putting the ramp on the back of the truck down, the ramp caught his left index finger, causing a partial amputation that required surgery.","Amputations, avulsions, enucleations  unspecified","Amputations, av",Amputations,0.5458838939666748
182,"An employee was descending a ladder when he fell from the second rung closest to the ground, suffering a head injury.","Traumatic injuries and disorders, n.e.c.",Traumatic injuries and disorders,"Intracranial injuries, unspecified",0.5033040046691895
