,Text,Predicted Label,LLM Response,True Label,Prediction Time
6,"While descending a step ladder, an employee missed a bottom step and fell to the floor, possibly fracturing the right hip.",Fractures,Fract,"Soreness, pain, hurt-nonspecified injury",0.1447770595550537
72,An employee tripped and fell down the stairs in the dock area. The employee was found unconscious at the bottom of the stairs.,"Traumatic injuries and disorders, unspecified",Traumatic,"Intracranial injuries, unspecified",0.14461112022399902
75,An employee was climbing a ladder when he fell for an unknown reason.  The employee was found on the floor unconscious and was hospitalized.,"Traumatic injuries and disorders, unspecified",Traumatic,"Intracranial injuries, unspecified",0.14422392845153809
79,An employee was hospitalized for head trauma after falling 20-25 feet from an order picker onto the cement floor.,"Traumatic injuries and disorders, unspecified",Traumatic,"Intracranial injuries, unspecified",0.15836811065673828
81,An employee fell while walking in the employee entrance and hit face on the wall.  The employee was hospitalized.,"Intracranial injuries, unspecified",Intr,"Soreness, pain, hurt-nonspecified injury",0.1710340976715088
90,An employee was installing cornices on the side of the house using an approximately 8-foot multipurpose portable ladder when he fell on his back with his gear. The impact of the fall caused the employee to go into a coma.,"Traumatic injuries and disorders, unspecified",Traumatic,"Intracranial injuries, unspecified",0.16491246223449707
99,An employee was siphoning water from a tank and ingested chemicals that were in the siphon hose. He was hospitalized.,"Intracranial injuries, unspecified",Intr,"Traumatic injuries and disorders, unspecified",0.14347434043884277
111,An employee was moving lumber from a saw to a conveyor. The employee's right hand was pulled into the conveyor belt. The hand and finger(s) were lacerated and broken.,"Cuts, lacerations",Cuts,Fractures,0.1568770408630371
115,"An employee was signaling railcars when one of them struck the employee, causing internal injuries.",Internal injuries to organs and blood vessels of the trunk,Internal injuries,"Traumatic injuries and disorders, unspecified",0.14560985565185547
123,Two employees were setting up a multi-die header machine. The machine was turned on while one of the employees was adjusting a bolt inside it. The employee's right middle finger tip was crushed between the bolt and the machine's oscillator and had to be amputated. The incident took place during a training activity.,Amputations,Amput,Crushing injuries,0.1496126651763916
